location,decimalLatitude,decimalLongitude,elevation,total_positive,total_negative,total_rate,date
BART,44.063889,-71.287375,274.0,0,27,0.0,2016-06
BART,44.063889,-71.287375,274.0,0,6,0.0,2016-07
BART,44.063889,-71.287375,274.0,0,6,0.0,2017-05
BART,44.063889,-71.287375,274.0,0,144,0.0,2017-06
BART,44.063889,-71.287375,274.0,0,27,0.0,2017-07
BART,44.063889,-71.287375,274.0,0,18,0.0,2017-08
BART,44.063889,-71.287375,274.0,0,6,0.0,2017-09
BART,44.063889,-71.287375,274.0,0,30,0.0,2018-05
BART,44.063889,-71.287375,274.0,0,72,0.0,2018-06
BART,44.063889,-71.287375,274.0,0,3,0.0,2018-07
BART,44.063889,-71.287375,274.0,0,3,0.0,2018-08
BART,44.063889,-71.287375,274.0,0,3,0.0,2018-09
BART,44.063889,-71.287375,274.0,0,252,0.0,2019-06
BART,44.063889,-71.287375,274.0,0,84,0.0,2019-07
BART,44.063889,-71.287375,274.0,0,27,0.0,2019-08
BART,44.063889,-71.287375,274.0,0,6,0.0,2019-09
BART,44.063889,-71.287375,274.0,0,9,0.0,2021-06
BART,44.063889,-71.287375,274.0,0,6,0.0,2021-07
BART,44.063889,-71.287375,274.0,0,3,0.0,2021-08
BART,44.063889,-71.287375,274.0,0,3,0.0,2021-09
HARV,42.53691,-72.17265,348.1,0,105,0.0,2016-05
HARV,42.53691,-72.17265,348.1,0,102,0.0,2016-06
HARV,42.53691,-72.17265,348.1,0,24,0.0,2016-07
HARV,42.53691,-72.17265,348.1,0,3,0.0,2016-08
HARV,42.53691,-72.17265,348.1,0,33,0.0,2016-09
HARV,42.53691,-72.17265,348.1,0,51,0.0,2017-05
HARV,42.53691,-72.17265,348.1,0,234,0.0,2017-06
HARV,42.53691,-72.17265,348.1,0,48,0.0,2017-07
HARV,42.53691,-72.17265,348.1,0,24,0.0,2017-08
HARV,42.53691,-72.17265,348.1,0,12,0.0,2017-09
HARV,42.53691,-72.17265,348.1,0,3,0.0,2017-10
HARV,42.53691,-72.17265,348.1,0,99,0.0,2018-05
HARV,42.53691,-72.17265,348.1,0,297,0.0,2018-06
HARV,42.53691,-72.17265,348.1,0,396,0.0,2018-07
HARV,42.53691,-72.17265,348.1,0,129,0.0,2018-08
HARV,42.53691,-72.17265,348.1,0,108,0.0,2018-09
HARV,42.53691,-72.17265,348.1,0,6,0.0,2018-10
HARV,42.53691,-72.17265,348.1,0,30,0.0,2019-05
HARV,42.53691,-72.17265,348.1,0,102,0.0,2019-06
HARV,42.53691,-72.17265,348.1,0,51,0.0,2019-07
HARV,42.53691,-72.17265,348.1,0,30,0.0,2019-08
HARV,42.53691,-72.17265,348.1,0,6,0.0,2019-09
HARV,42.53691,-72.17265,348.1,0,33,0.0,2021-06
HARV,42.53691,-72.17265,348.1,0,24,0.0,2021-07
HARV,42.53691,-72.17265,348.1,0,60,0.0,2021-08
HARV,42.53691,-72.17265,348.1,0,36,0.0,2021-09
HARV,42.53691,-72.17265,348.1,0,9,0.0,2021-10
BLAN,39.033698,-78.041788,182.7,0,9,0.0,2015-05
BLAN,39.033698,-78.041788,182.7,1,12,0.07692307692307693,2015-06
BLAN,39.033698,-78.041788,182.7,0,6,0.0,2015-07
BLAN,39.033698,-78.041788,182.7,0,21,0.0,2015-10
BLAN,39.033698,-78.041788,182.7,0,15,0.0,2017-05
BLAN,39.033698,-78.041788,182.7,0,9,0.0,2017-06
BLAN,39.033698,-78.041788,182.7,0,36,0.0,2017-07
BLAN,39.033698,-78.041788,182.7,0,9,0.0,2017-08
BLAN,39.033698,-78.041788,182.7,0,18,0.0,2018-05
BLAN,39.033698,-78.041788,182.7,0,42,0.0,2018-06
BLAN,39.033698,-78.041788,182.7,0,51,0.0,2018-07
BLAN,39.033698,-78.041788,182.7,1,42,0.023255813953488372,2018-08
BLAN,39.033698,-78.041788,182.7,0,15,0.0,2018-09
BLAN,39.033698,-78.041788,182.7,0,138,0.0,2018-10
BLAN,39.033698,-78.041788,182.7,0,3,0.0,2020-07
BLAN,39.033698,-78.041788,182.7,0,3,0.0,2020-08
BLAN,39.033698,-78.041788,182.7,0,3,0.0,2020-09
BLAN,39.033698,-78.041788,182.7,0,15,0.0,2021-10
SCBI,38.892925,-78.139494,352.4,0,27,0.0,2018-07
SCBI,38.892925,-78.139494,352.4,0,3,0.0,2018-08
SCBI,38.892925,-78.139494,352.4,0,21,0.0,2018-09
SCBI,38.892925,-78.139494,352.4,0,3,0.0,2020-07
SCBI,38.892925,-78.139494,352.4,0,6,0.0,2020-08
SCBI,38.892925,-78.139494,352.4,0,3,0.0,2020-09
SERC,38.890131,-76.560014,32.5,0,3,0.0,2015-04
SERC,38.890131,-76.560014,32.5,0,93,0.0,2015-05
SERC,38.890131,-76.560014,32.5,2,79,0.024691358024691357,2015-06
SERC,38.890131,-76.560014,32.5,0,252,0.0,2015-07
SERC,38.890131,-76.560014,32.5,0,180,0.0,2015-08
SERC,38.890131,-76.560014,32.5,0,45,0.0,2015-09
SERC,38.890131,-76.560014,32.5,0,6,0.0,2015-10
SERC,38.890131,-76.560014,32.5,0,15,0.0,2015-11
SERC,38.890131,-76.560014,32.5,0,15,0.0,2016-05
SERC,38.890131,-76.560014,32.5,0,195,0.0,2016-06
SERC,38.890131,-76.560014,32.5,0,135,0.0,2016-07
SERC,38.890131,-76.560014,32.5,0,105,0.0,2016-08
SERC,38.890131,-76.560014,32.5,0,63,0.0,2016-09
SERC,38.890131,-76.560014,32.5,0,18,0.0,2016-10
SERC,38.890131,-76.560014,32.5,0,6,0.0,2017-04
SERC,38.890131,-76.560014,32.5,0,9,0.0,2017-05
SERC,38.890131,-76.560014,32.5,0,90,0.0,2017-06
SERC,38.890131,-76.560014,32.5,0,105,0.0,2017-07
SERC,38.890131,-76.560014,32.5,0,159,0.0,2017-08
SERC,38.890131,-76.560014,32.5,0,63,0.0,2017-09
SERC,38.890131,-76.560014,32.5,0,123,0.0,2017-10
SERC,38.890131,-76.560014,32.5,0,9,0.0,2017-11
SERC,38.890131,-76.560014,32.5,0,78,0.0,2018-05
SERC,38.890131,-76.560014,32.5,0,33,0.0,2018-06
SERC,38.890131,-76.560014,32.5,0,132,0.0,2018-07
SERC,38.890131,-76.560014,32.5,0,72,0.0,2018-08
SERC,38.890131,-76.560014,32.5,0,51,0.0,2018-09
SERC,38.890131,-76.560014,32.5,0,48,0.0,2018-10
SERC,38.890131,-76.560014,32.5,0,6,0.0,2019-04
SERC,38.890131,-76.560014,32.5,0,72,0.0,2019-05
SERC,38.890131,-76.560014,32.5,0,18,0.0,2019-06
SERC,38.890131,-76.560014,32.5,0,27,0.0,2019-07
SERC,38.890131,-76.560014,32.5,0,21,0.0,2019-08
SERC,38.890131,-76.560014,32.5,0,30,0.0,2019-09
SERC,38.890131,-76.560014,32.5,0,6,0.0,2019-10
SERC,38.890131,-76.560014,32.5,0,12,0.0,2019-11
SERC,38.890131,-76.560014,32.5,0,3,0.0,2019-12
SERC,38.890131,-76.560014,32.5,0,9,0.0,2020-10
SERC,38.890131,-76.560014,32.5,0,6,0.0,2020-11
SERC,38.890131,-76.560014,32.5,0,9,0.0,2021-05
SERC,38.890131,-76.560014,32.5,0,36,0.0,2021-06
SERC,38.890131,-76.560014,32.5,0,24,0.0,2021-07
SERC,38.890131,-76.560014,32.5,0,60,0.0,2021-08
SERC,38.890131,-76.560014,32.5,0,60,0.0,2021-09
SERC,38.890131,-76.560014,32.5,0,12,0.0,2021-10
DSNY,28.12505,-81.43619,20.3,0,21,0.0,2016-04
DSNY,28.12505,-81.43619,20.3,0,6,0.0,2016-05
DSNY,28.12505,-81.43619,20.3,0,120,0.0,2016-09
DSNY,28.12505,-81.43619,20.3,0,75,0.0,2016-10
DSNY,28.12505,-81.43619,20.3,0,54,0.0,2016-11
DSNY,28.12505,-81.43619,20.3,0,12,0.0,2017-03
DSNY,28.12505,-81.43619,20.3,0,18,0.0,2017-04
DSNY,28.12505,-81.43619,20.3,0,39,0.0,2017-05
DSNY,28.12505,-81.43619,20.3,0,192,0.0,2017-06
DSNY,28.12505,-81.43619,20.3,0,180,0.0,2017-07
DSNY,28.12505,-81.43619,20.3,0,162,0.0,2017-08
DSNY,28.12505,-81.43619,20.3,0,126,0.0,2017-09
DSNY,28.12505,-81.43619,20.3,0,144,0.0,2017-10
DSNY,28.12505,-81.43619,20.3,0,66,0.0,2017-11
DSNY,28.12505,-81.43619,20.3,0,30,0.0,2017-12
DSNY,28.12505,-81.43619,20.3,0,18,0.0,2018-01
DSNY,28.12505,-81.43619,20.3,0,39,0.0,2018-02
DSNY,28.12505,-81.43619,20.3,0,42,0.0,2018-03
DSNY,28.12505,-81.43619,20.3,0,57,0.0,2018-04
DSNY,28.12505,-81.43619,20.3,0,117,0.0,2018-05
DSNY,28.12505,-81.43619,20.3,0,57,0.0,2018-06
DSNY,28.12505,-81.43619,20.3,0,69,0.0,2018-07
DSNY,28.12505,-81.43619,20.3,0,63,0.0,2018-08
DSNY,28.12505,-81.43619,20.3,0,45,0.0,2018-09
DSNY,28.12505,-81.43619,20.3,0,36,0.0,2018-10
DSNY,28.12505,-81.43619,20.3,0,15,0.0,2019-01
DSNY,28.12505,-81.43619,20.3,0,18,0.0,2019-02
DSNY,28.12505,-81.43619,20.3,0,12,0.0,2019-03
DSNY,28.12505,-81.43619,20.3,0,6,0.0,2019-04
DSNY,28.12505,-81.43619,20.3,0,63,0.0,2019-05
DSNY,28.12505,-81.43619,20.3,0,48,0.0,2019-06
DSNY,28.12505,-81.43619,20.3,2,116,0.01694915254237288,2019-07
DSNY,28.12505,-81.43619,20.3,0,135,0.0,2019-08
DSNY,28.12505,-81.43619,20.3,0,51,0.0,2019-09
DSNY,28.12505,-81.43619,20.3,0,54,0.0,2019-10
DSNY,28.12505,-81.43619,20.3,0,48,0.0,2019-11
DSNY,28.12505,-81.43619,20.3,0,72,0.0,2019-12
DSNY,28.12505,-81.43619,20.3,0,45,0.0,2020-01
DSNY,28.12505,-81.43619,20.3,0,69,0.0,2020-02
DSNY,28.12505,-81.43619,20.3,0,90,0.0,2020-06
DSNY,28.12505,-81.43619,20.3,0,6,0.0,2020-11
DSNY,28.12505,-81.43619,20.3,0,24,0.0,2020-12
DSNY,28.12505,-81.43619,20.3,0,36,0.0,2021-01
DSNY,28.12505,-81.43619,20.3,0,24,0.0,2021-02
DSNY,28.12505,-81.43619,20.3,0,15,0.0,2021-03
DSNY,28.12505,-81.43619,20.3,0,18,0.0,2021-04
DSNY,28.12505,-81.43619,20.3,0,12,0.0,2021-05
DSNY,28.12505,-81.43619,20.3,0,36,0.0,2021-06
DSNY,28.12505,-81.43619,20.3,0,120,0.0,2021-07
DSNY,28.12505,-81.43619,20.3,0,96,0.0,2021-08
DSNY,28.12505,-81.43619,20.3,0,60,0.0,2021-10
JERC,31.194839,-84.468623,46.7,0,14,0.0,2014-06
JERC,31.194839,-84.468623,46.7,0,10,0.0,2014-07
JERC,31.194839,-84.468623,46.7,0,3,0.0,2014-08
JERC,31.194839,-84.468623,46.7,0,2,0.0,2014-09
JERC,31.194839,-84.468623,46.7,0,144,0.0,2016-03
JERC,31.194839,-84.468623,46.7,0,270,0.0,2016-04
JERC,31.194839,-84.468623,46.7,0,75,0.0,2016-05
JERC,31.194839,-84.468623,46.7,0,3,0.0,2016-06
JERC,31.194839,-84.468623,46.7,0,3,0.0,2016-07
JERC,31.194839,-84.468623,46.7,0,15,0.0,2016-09
JERC,31.194839,-84.468623,46.7,0,27,0.0,2016-10
JERC,31.194839,-84.468623,46.7,0,3,0.0,2017-03
JERC,31.194839,-84.468623,46.7,0,6,0.0,2017-04
JERC,31.194839,-84.468623,46.7,0,57,0.0,2017-05
JERC,31.194839,-84.468623,46.7,0,6,0.0,2017-06
JERC,31.194839,-84.468623,46.7,0,18,0.0,2017-07
JERC,31.194839,-84.468623,46.7,0,27,0.0,2017-08
JERC,31.194839,-84.468623,46.7,0,69,0.0,2017-09
JERC,31.194839,-84.468623,46.7,0,18,0.0,2017-10
JERC,31.194839,-84.468623,46.7,0,9,0.0,2017-11
JERC,31.194839,-84.468623,46.7,0,60,0.0,2018-03
JERC,31.194839,-84.468623,46.7,0,15,0.0,2018-04
JERC,31.194839,-84.468623,46.7,0,48,0.0,2018-05
JERC,31.194839,-84.468623,46.7,0,57,0.0,2018-06
JERC,31.194839,-84.468623,46.7,0,30,0.0,2018-07
JERC,31.194839,-84.468623,46.7,0,21,0.0,2018-08
JERC,31.194839,-84.468623,46.7,0,18,0.0,2018-09
JERC,31.194839,-84.468623,46.7,0,66,0.0,2018-10
JERC,31.194839,-84.468623,46.7,0,12,0.0,2018-11
JERC,31.194839,-84.468623,46.7,0,12,0.0,2018-12
JERC,31.194839,-84.468623,46.7,0,30,0.0,2019-02
JERC,31.194839,-84.468623,46.7,0,24,0.0,2019-03
JERC,31.194839,-84.468623,46.7,0,36,0.0,2019-04
JERC,31.194839,-84.468623,46.7,0,3,0.0,2019-05
JERC,31.194839,-84.468623,46.7,0,6,0.0,2019-06
JERC,31.194839,-84.468623,46.7,0,9,0.0,2019-07
JERC,31.194839,-84.468623,46.7,0,30,0.0,2019-08
JERC,31.194839,-84.468623,46.7,0,12,0.0,2019-09
JERC,31.194839,-84.468623,46.7,0,6,0.0,2019-10
JERC,31.194839,-84.468623,46.7,0,6,0.0,2020-02
JERC,31.194839,-84.468623,46.7,0,6,0.0,2020-03
JERC,31.194839,-84.468623,46.7,0,3,0.0,2020-06
JERC,31.194839,-84.468623,46.7,0,33,0.0,2020-10
JERC,31.194839,-84.468623,46.7,0,3,0.0,2021-02
JERC,31.194839,-84.468623,46.7,0,27,0.0,2021-05
JERC,31.194839,-84.468623,46.7,0,27,0.0,2021-06
JERC,31.194839,-84.468623,46.7,0,30,0.0,2021-07
JERC,31.194839,-84.468623,46.7,0,24,0.0,2021-08
JERC,31.194839,-84.468623,46.7,0,3,0.0,2021-10
OSBS,29.689282,-81.993431,46.0,0,55,0.0,2014-04
OSBS,29.689282,-81.993431,46.0,0,56,0.0,2014-05
OSBS,29.689282,-81.993431,46.0,0,42,0.0,2014-06
OSBS,29.689282,-81.993431,46.0,4,83,0.04597701149425287,2014-07
OSBS,29.689282,-81.993431,46.0,0,51,0.0,2014-08
OSBS,29.689282,-81.993431,46.0,0,65,0.0,2014-09
OSBS,29.689282,-81.993431,46.0,0,69,0.0,2016-03
OSBS,29.689282,-81.993431,46.0,0,57,0.0,2016-04
OSBS,29.689282,-81.993431,46.0,0,114,0.0,2016-05
OSBS,29.689282,-81.993431,46.0,0,222,0.0,2016-06
OSBS,29.689282,-81.993431,46.0,0,300,0.0,2016-07
OSBS,29.689282,-81.993431,46.0,0,285,0.0,2016-08
OSBS,29.689282,-81.993431,46.0,0,216,0.0,2016-09
OSBS,29.689282,-81.993431,46.0,0,333,0.0,2016-10
OSBS,29.689282,-81.993431,46.0,0,96,0.0,2016-11
OSBS,29.689282,-81.993431,46.0,0,99,0.0,2017-02
OSBS,29.689282,-81.993431,46.0,0,84,0.0,2017-03
OSBS,29.689282,-81.993431,46.0,0,36,0.0,2017-04
OSBS,29.689282,-81.993431,46.0,1,51,0.019230769230769232,2017-05
OSBS,29.689282,-81.993431,46.0,0,384,0.0,2017-06
OSBS,29.689282,-81.993431,46.0,0,534,0.0,2017-07
OSBS,29.689282,-81.993431,46.0,0,384,0.0,2017-08
OSBS,29.689282,-81.993431,46.0,0,378,0.0,2017-09
OSBS,29.689282,-81.993431,46.0,0,411,0.0,2017-10
OSBS,29.689282,-81.993431,46.0,0,162,0.0,2017-11
OSBS,29.689282,-81.993431,46.0,0,42,0.0,2017-12
OSBS,29.689282,-81.993431,46.0,0,138,0.0,2018-01
OSBS,29.689282,-81.993431,46.0,0,207,0.0,2018-02
OSBS,29.689282,-81.993431,46.0,0,60,0.0,2018-03
OSBS,29.689282,-81.993431,46.0,0,93,0.0,2018-04
OSBS,29.689282,-81.993431,46.0,0,174,0.0,2018-05
OSBS,29.689282,-81.993431,46.0,0,210,0.0,2018-06
OSBS,29.689282,-81.993431,46.0,0,270,0.0,2018-07
OSBS,29.689282,-81.993431,46.0,0,237,0.0,2018-08
OSBS,29.689282,-81.993431,46.0,0,249,0.0,2018-09
OSBS,29.689282,-81.993431,46.0,0,279,0.0,2018-10
OSBS,29.689282,-81.993431,46.0,0,36,0.0,2018-11
OSBS,29.689282,-81.993431,46.0,0,9,0.0,2018-12
OSBS,29.689282,-81.993431,46.0,0,9,0.0,2019-01
OSBS,29.689282,-81.993431,46.0,0,111,0.0,2019-02
OSBS,29.689282,-81.993431,46.0,0,21,0.0,2019-03
OSBS,29.689282,-81.993431,46.0,0,57,0.0,2019-04
OSBS,29.689282,-81.993431,46.0,0,72,0.0,2019-05
OSBS,29.689282,-81.993431,46.0,0,144,0.0,2019-06
OSBS,29.689282,-81.993431,46.0,0,162,0.0,2019-07
OSBS,29.689282,-81.993431,46.0,0,165,0.0,2019-08
OSBS,29.689282,-81.993431,46.0,0,96,0.0,2019-09
OSBS,29.689282,-81.993431,46.0,0,153,0.0,2019-10
OSBS,29.689282,-81.993431,46.0,0,24,0.0,2019-11
OSBS,29.689282,-81.993431,46.0,0,72,0.0,2019-12
OSBS,29.689282,-81.993431,46.0,0,6,0.0,2020-01
OSBS,29.689282,-81.993431,46.0,2,46,0.041666666666666664,2020-02
OSBS,29.689282,-81.993431,46.0,0,66,0.0,2020-03
OSBS,29.689282,-81.993431,46.0,0,87,0.0,2020-06
OSBS,29.689282,-81.993431,46.0,0,105,0.0,2020-07
OSBS,29.689282,-81.993431,46.0,4,124,0.03125,2020-10
OSBS,29.689282,-81.993431,46.0,0,45,0.0,2020-11
OSBS,29.689282,-81.993431,46.0,0,9,0.0,2020-12
OSBS,29.689282,-81.993431,46.0,0,3,0.0,2021-01
OSBS,29.689282,-81.993431,46.0,0,24,0.0,2021-02
OSBS,29.689282,-81.993431,46.0,0,15,0.0,2021-03
OSBS,29.689282,-81.993431,46.0,0,66,0.0,2021-04
OSBS,29.689282,-81.993431,46.0,0,57,0.0,2021-05
OSBS,29.689282,-81.993431,46.0,0,78,0.0,2021-06
OSBS,29.689282,-81.993431,46.0,0,231,0.0,2021-07
OSBS,29.689282,-81.993431,46.0,0,210,0.0,2021-08
OSBS,29.689282,-81.993431,46.0,0,282,0.0,2021-09
OSBS,29.689282,-81.993431,46.0,0,117,0.0,2021-10
GUAN,17.96955,-66.8687,125.3,0,6,0.0,2016-02
GUAN,17.96955,-66.8687,125.3,0,33,0.0,2016-03
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2016-04
GUAN,17.96955,-66.8687,125.3,0,219,0.0,2016-05
GUAN,17.96955,-66.8687,125.3,0,57,0.0,2016-06
GUAN,17.96955,-66.8687,125.3,0,12,0.0,2016-07
GUAN,17.96955,-66.8687,125.3,0,9,0.0,2016-08
GUAN,17.96955,-66.8687,125.3,0,132,0.0,2016-09
GUAN,17.96955,-66.8687,125.3,0,309,0.0,2016-10
GUAN,17.96955,-66.8687,125.3,0,687,0.0,2016-11
GUAN,17.96955,-66.8687,125.3,0,9,0.0,2017-02
GUAN,17.96955,-66.8687,125.3,0,6,0.0,2017-03
GUAN,17.96955,-66.8687,125.3,0,21,0.0,2017-04
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2017-05
GUAN,17.96955,-66.8687,125.3,0,72,0.0,2017-06
GUAN,17.96955,-66.8687,125.3,0,156,0.0,2017-07
GUAN,17.96955,-66.8687,125.3,0,114,0.0,2017-08
GUAN,17.96955,-66.8687,125.3,0,105,0.0,2017-09
GUAN,17.96955,-66.8687,125.3,0,54,0.0,2017-12
GUAN,17.96955,-66.8687,125.3,0,15,0.0,2018-01
GUAN,17.96955,-66.8687,125.3,0,27,0.0,2018-02
GUAN,17.96955,-66.8687,125.3,0,66,0.0,2018-03
GUAN,17.96955,-66.8687,125.3,0,12,0.0,2018-04
GUAN,17.96955,-66.8687,125.3,0,15,0.0,2018-06
GUAN,17.96955,-66.8687,125.3,0,42,0.0,2018-07
GUAN,17.96955,-66.8687,125.3,0,15,0.0,2018-08
GUAN,17.96955,-66.8687,125.3,0,51,0.0,2018-09
GUAN,17.96955,-66.8687,125.3,0,150,0.0,2018-10
GUAN,17.96955,-66.8687,125.3,0,78,0.0,2018-11
GUAN,17.96955,-66.8687,125.3,0,15,0.0,2018-12
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2019-01
GUAN,17.96955,-66.8687,125.3,0,33,0.0,2019-03
GUAN,17.96955,-66.8687,125.3,0,6,0.0,2019-04
GUAN,17.96955,-66.8687,125.3,0,12,0.0,2019-05
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2019-06
GUAN,17.96955,-66.8687,125.3,0,6,0.0,2019-07
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2019-08
GUAN,17.96955,-66.8687,125.3,0,81,0.0,2019-09
GUAN,17.96955,-66.8687,125.3,0,222,0.0,2019-10
GUAN,17.96955,-66.8687,125.3,0,27,0.0,2019-11
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2019-12
GUAN,17.96955,-66.8687,125.3,0,21,0.0,2020-08
GUAN,17.96955,-66.8687,125.3,0,6,0.0,2020-09
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2020-10
GUAN,17.96955,-66.8687,125.3,0,57,0.0,2020-11
GUAN,17.96955,-66.8687,125.3,0,72,0.0,2020-12
GUAN,17.96955,-66.8687,125.3,0,3,0.0,2021-01
GUAN,17.96955,-66.8687,125.3,0,9,0.0,2021-07
GUAN,17.96955,-66.8687,125.3,0,12,0.0,2021-08
GUAN,17.96955,-66.8687,125.3,0,9,0.0,2021-09
GUAN,17.96955,-66.8687,125.3,0,63,0.0,2021-10
LAJA,18.021261,-67.076889,16.4,0,9,0.0,2016-04
LAJA,18.021261,-67.076889,16.4,0,9,0.0,2016-05
LAJA,18.021261,-67.076889,16.4,0,6,0.0,2016-06
LAJA,18.021261,-67.076889,16.4,0,3,0.0,2016-07
LAJA,18.021261,-67.076889,16.4,0,18,0.0,2016-08
LAJA,18.021261,-67.076889,16.4,0,186,0.0,2016-09
LAJA,18.021261,-67.076889,16.4,0,144,0.0,2016-10
